School,Is campus?,Count?,Members,Founded,Created via merge,Foundational org begins,Organizing begins,Authorization card signing begin,Voted to affiliate,NLRB certified,Link,Affiliation,Notes,Type,Latitude (via Mapbox),Longitude (via Mapbox),City (via GPT),County (via GPT),State (via GPT),Living wage (state),Latitude,Longitude
Marquette University,,,,,,,,,,,twitter.com/MarquetteUnion,unknown,used to be https://mawulocal.org,Private,,,Milwaukee,Milwaukee,Wisconsin,$16.40,43.039054,-87.932597
"University of Massachusetts, Amherst",,,,,,,,,,,geouaw.org,UAW,,Public,,,Amherst,Hampshire,Massachusetts,$21.88,42.388894,-72.527413
"University of Massachusetts, Boston",,,,,,,,,,,geoumb.org,UAW,Local 1596,Public,,,Boston,Suffolk,Massachusetts,$21.88,42.314196,-71.038149
Massachusetts Institute of Technology (MIT),,,,,,,,,,,mitgsu.org,UE,,Private,,,Cambridge,Middlesex,Massachusetts,$21.88,42.358984,-71.0935805
"University of Massachusetts, Lowell",,,,,,,,,,,https://sites.google.com/site/geoumasslowell/,UAW,Local 1596,Public,,,Lowell,Middlesex,Massachusetts,$21.88,42.652516500000004,-71.324012
University of Michigan,,,,,,,,,,,geo3550.org,AFT,Local 3550,Public,,,Ann Arbor,Washtenaw,Michigan,$16.36,42.281083,-83.73267
Michigan State University,,,,,,,,,,,geuatmsu.org,AFT,,Public,,,East Lansing,Ingham,Michigan,$16.36,42.7265225,-84.481054
University of Minnesota,System,,,,,,,,,,umnglu.org,UE,,Public,,,,Hennepin,Minnesota,$17.74,44.969408,-93.230152
University of Minnesota Crookston,University of Minnesota,,,,,,,,,,,UE,,,,,Crookston,Polk,Minnesota,$17.74,47.799965,-96.60825700000001
University of Minnesota Duluth,University of Minnesota,,,,,,,,,,,UE,,,,,Duluth,St. Louis,Minnesota,$17.74,46.8190805,-92.08342999999999
University of Minnesota Morris,University of Minnesota,,,,,,,,,,,UE,,,,,Morris,Stevens,Minnesota,$17.74,45.5896585,-95.901465
University of Minnesota Rochester,University of Minnesota,,,,,,,,,,,UE,,,,,Rochester,Olmsted,Minnesota,$17.74,44.022469,-92.463615
University of Minnesota Twin Cities,University of Minnesota,,,,,,,,,,,UE,,,,,Minneapolis and St. Paul,Hennepin,Minnesota,$17.74,44.991164,-93.224335
University of Nebraska–Lincoln,,,,,,,,,,,twitter.com/UnionizeUnl,unknown,,Public,,,Lincoln,Lancaster,Nebraska,$16.60,40.8178045,-96.702037
New School,,,,,,,,,,,sensuaw.org,UAW,Local 7902,Private,,,New York City,New York,New York,$21.99,40.736586,-73.996482
New York University (NYU),,,,,,,,,,,makingabetternyu.org,UAW,Local 2110 ← same as second columbia?,Private,,,New York City,New York,New York,$21.99,40.729421375,-73.99417925
North Carolina State University,,,,,,,,,,,bit.ly/m/WorkersAtState,UE,Local 150,Public,,,Raleigh,Wake,North Carolina,$17.14,35.7861945,-78.6727755
Northeastern University,,,,,,,,,,,nugradunion.com,UAW,,Private,,,Boston,Suffolk,Massachusetts,$21.88,42.3397355,-71.0883555
Northwestern University,,,,,,,,,,,nugradworkers.org,UE,,Private,,,Evanston,Cook,Illinois,$18.16,42.0530945,-87.6752305
Oregon State University,,,,,,,,,,,cge6069.org,AFT,Local 6059,Public,,,Corvallis,Benton,Oregon,$19.51,44.5643185,-123.27684049999999
Pennsylvania State University,,,,,,,,,,,cgepsu.org,unknown,,Public,,,State College,Centre,Pennsylvania,$16.67,40.797229,-77.870724
Princeton University,,,,,,,,,,,princetongsu.org,UE,,Private,,,"Princeton, NJ",Mercer,New Jersey,$20.57,40.3451335,-74.65832225
Purdue University,,,,,,,,,,,facebook.com/coaltionofgraduateemployeesatpurdueuniversity,unknown,,Public,,,West Lafayette,Tippecanoe,Indiana,$15.79,40.416012,-86.929836
Rensselaer Polytechnic Institute,,,,,,,,,,,linktr.ee/rpi_ra_union,OPEIU,Local 153,Private,,,Troy,Rensselaer,New York,$21.99,42.7300305,-73.67859899999999
Rice University,,,,,,,,,,,,,,Private,,,Houston,Harris,Texas,$16.41,29.717171,-95.4018215
Rutgers University,,,,,,,,,,,https://rutgersaaup.org/graduate-students/,AAUP,AAUP is an affiliate of AFT,Public,,,New Brunswick,Middlesex,New Jersey,$20.57,40.499053,-74.451482
University of Southern California (USC),,,,,,,,,,,gswoc-usc.org,UAW,,Private,,,Los Angeles,Los Angeles,California,$21.82,34.022018,-118.2853775
Southern Illinois University at Carbondale,,,,,,,,,,,gaunited.org,NEA,,Public,,,Carbondale,Jackson,Illinois,$18.16,37.716717,-89.2164
Stanford University,,,,,,,,,,,sgwu.us,UE,,Private,,,Palo Alto,Santa Clara,California,$21.82,37.424892,-122.168986
State University of New York (SUNY),System,,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Albany,Albany,New York,$21.99,42.680157,-73.837624
Cornell University College of Agriculture and Life Sciences,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.4482,-76.4794
Cornell University College of Human Ecology,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.450434,-76.478729
Cornell University School of Industrial and Labor Relations,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,39.278143,-80.581487
Cornell University College of Veterinary Medicine,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.4456715,-76.47764649999999
NYS College of Ceramics,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.2533,-77.7876
SUNY College of Environmental Science and Forestry,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.0349625,-76.135762
College of Optometry,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,35.137878,-90.0202625
Downstate Medical Center,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.6552505,-73.9450875
SUNY Polytechnic Institute,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.691116,-73.833052
Upstate Medical University,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.041647,-76.140376
Buffalo State University,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.93458,-78.883727
Empire State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.785021,-73.579157
Purchase College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,41.0475365,-73.70158850000001
State University of New York at Geneseo,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.7959745,-77.819731
State University of New York at New Paltz,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,41.741721,-74.0833705
State University of New York at Oswego,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.4506795,-76.54428999999999
State University of New York at Potsdam,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.662181000000004,-74.9738845
SUNY Oneonta,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.496814,-75.061212
SUNY Cortland,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.596903499999996,-76.190024
SUNY Fredonia,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.453386,-79.336996
SUNY Plattsburgh,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.693417,-73.46643700000001
State University of New York Brockport,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.210967,-77.9497255
The College at Old Westbury,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.811253,-73.604449
Alfred State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.254801,-77.791546
SUNY Farmingdale,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.752769,-73.4275915
Maritime College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.8074,-73.7968
Morrisville State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.893617,-75.640774
SUNY Canton,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.60368,-75.1837495
SUNY Cobleskill,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.6724175,-74.4986155
SUNY Delhi,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.26991,-74.92414
SUNY Albany,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Albany,Albany,New York,$21.99,42.684506,-73.823261
SUNY Binghamton,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Binghamton,Broome,New York,$21.99,42.0906475,-75.969123
SUNY Stony Brook,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Stony Brook,Suffolk,New York,$21.99,40.9132405,-73.1182325
Syracuse University,,,,,,,,,,,syracusegradsunited.org,SEIU,Local 200 United,Private,,,Syracuse,Onondaga,New York,$21.99,43.038514,-76.13476
Temple University,,,,,,,,,,,tugsa.org,AFT,6290,Public,,,Philadelphia,Philadelphia,Pennsylvania,$16.67,39.9808005,-75.155202
University of Texas,System,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Travis,,,30.285167,-97.741487
UT Arlington,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Tarrant,,,32.726317,-97.117807
UT El Paso,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,El Paso,,,31.7732,-106.5047
UT Permian Basin,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Ector,,,31.8900875,-102.328946
UT Rio Grande Valley,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Hidalgo,,,40.751744,-111.890019
UT San Antonio,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Bexar,,,29.5831,-98.6199
